id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15612482,Best location in town!,99627397,Louis-P,,Saint-Roch,46.81386,-71.22544,Entire home/apt,45,2,162,2020-12-19,3.70,1,275
15676165,Bel appartement ensoleillé près de tout,101248265,Manon,,Vieux-Moulin,46.85206,-71.22513,Entire home/apt,100,32,109,2020-02-21,2.12,1,254
15682145,Cosy and close to everything!,32446263,Eve,,Saint-Roch,46.81381,-71.21946,Entire home/apt,95,3,97,2020-03-20,1.92,1,0
15687707,2BDR near Old Quebec everything Included & parking,101289656,Véronique,,Saint-Jean-Baptiste,46.81133,-71.22138,Entire home/apt,60,31,2,2021-01-15,0.10,1,0
15698666,"Peacefull, charming and luminous",33902178,Janny,,Saint-Sauveur,46.80736,-71.23385,Private room,35,2,69,2019-12-14,1.38,2,71
15706190,Studio apartment downtown Ste-Foy,23987025,Elise,,Saint-Louis,46.7661,-71.2798,Entire home/apt,35,32,27,2020-12-12,0.57,1,254
15719713,Cozy Apartment 203 - CND,4252877,Nathalie,,Saint-Roch,46.81409,-71.22616,Entire home/apt,55,2,160,2020-09-20,3.09,6,0
15803197,La champêtre de Limoilou,27213304,Sylvain,,Lairet,46.83159,-71.23704,Private room,48,2,121,2020-08-04,2.97,6,308
15885829,Grand Loft avec vue inspirante!,21919532,Juan,,Saint-Jean-Baptiste,46.81235,-71.21665,Entire home/apt,75,1,12,2019-02-24,0.24,1,0
15903409,COVID-19 Ready Loft,32966320,Jazun,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.79764,-71.22127,Entire home/apt,108,1,172,2021-01-27,3.41,2,68
15910317,Awesome condo in Old Quebec City,73786063,Mark,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81391,-71.21033,Entire home/apt,245,31,115,2020-02-09,2.28,6,89
